"","comname","year","decade","total_biomass","avg_biomass","biomass_sd","avg_lat","avg_lon","avg_sst","avg_bot","avg_depth"
"1","Acadian redfish",1970,1970,2850.8017,24.5758767241379,62.6849561632029,42.8524439632776,-68.4853718562747,7.45772131228383,7.21316996750167,181.838836282439
"2","Acadian redfish",1971,1970,5276.9009,43.9741741666667,104.493665553792,42.8077847282673,-68.3141829003649,6.06220159188894,7.52933843953512,184.26295472026
"3","Acadian redfish",1972,1970,4394.902,33.5488702290076,125.76996868927,42.5218621821071,-68.6580083822423,6.38261634957958,7.22084438830161,201.274360474932
"4","Acadian redfish",1973,1970,2148.2017,17.0492198412698,36.7032878040625,42.7121529075692,-68.5542595646706,8.04949355547014,7.05336677473382,188.107389683194
"5","Acadian redfish",1974,1970,2059.5018,15.9651302325581,45.2413005750995,42.7756186812591,-68.3174844806481,9.36261602684689,8.3662542195889,187.349718849481
"6","Acadian redfish",1975,1970,3679.2017,29.9122089430894,74.1965030552179,42.8171779363713,-67.9769979428508,8.35812479375621,8.00647598503564,186.369565218864
"7","Acadian redfish",1976,1970,2199.2,19.4619469026549,65.5619939972086,42.8852334488905,-68.3391346351401,7.13791833393961,7.62869628883906,197.223126591488
"8","Acadian redfish",1977,1970,2636.5002,17.9353755102041,34.8252928161132,42.7459011117339,-69.1422034975887,8.10262849211997,6.37228723216357,167.31241799261
"9","Acadian redfish",1978,1970,3877.7004,20.8478516129032,36.7176007181139,42.7276163449003,-68.7278532245468,10.2301365211196,6.31422894823889,161.312867750175
"10","Acadian redfish",1979,1970,3839.3002,26.4779324137931,58.8829287411894,42.6361050835948,-68.5745530514128,8.33011501418931,6.37490071580872,178.015418330663
"11","Acadian redfish",1980,1980,1901.9004,19.8114625,46.7793343426802,42.5904708706442,-68.5144940851091,8.03363534178762,6.276277146091,201.449860571037
"12","Acadian redfish",1981,1980,1370.1005,15.9314011627907,51.1249667684299,43.1026854683046,-68.2457651872497,8.76612694470223,6.42917333436489,193.754750545672
"13","Acadian redfish",1982,1980,769.7002,9.6212525,22.7709036045696,42.8005740884568,-68.5098155530772,7.39089338940018,6.47946049643744,182.713627721547
"14","Acadian redfish",1983,1980,621.8002,7.87088860759494,14.89940623909,42.849235836313,-68.7664492132146,8.10169963169335,6.87447043443515,168.172098851046
"15","Acadian redfish",1984,1980,494.3008,6.77124383561644,12.1839596026564,42.8720096785872,-68.4248272377872,9.02499928535714,7.1115925319883,190.181054936589
"16","Acadian redfish",1985,1980,622.6002,8.76901690140845,16.3261351928214,42.8025106366814,-68.0487228695611,8.11674922600619,7.90188271604938,210.284291588727
"17","Acadian redfish",1986,1980,1014.3006,13.0038538461538,30.7434996279107,42.9459247639539,-68.357830986659,8.91362464735394,8.59601101182393,171.97200612915
