"","comname","year","decade","season","total_biomass","avg_biomass","biomass_sd","avg_lat","avg_lon","avg_sst","avg_bot","avg_depth"
"1","Acadian redfish",1970,1970,"Fall",1751.2006,27.7968349206349,45.111154119028,43.0408707343979,-68.4991182445537,9.62308357731669,7.17419166292248,173.363852947515
"2","Acadian redfish",1970,1970,"Spring",1099.6011,20.7471905660377,78.9693107907439,42.5523596193807,-68.46347965973,4.12406714241528,7.27338061310004,195.335908903692
"3","Acadian redfish",1971,1970,"Fall",1498.9003,23.4203171875,41.5468084732265,43.0833864631957,-68.3047713116076,11.0518457631905,8.41278396940241,175.004213288903
"4","Acadian redfish",1971,1970,"Spring",3778.0006,67.4642964285714,143.505973750499,42.6984413038208,-68.3179168947988,4.08258852797928,7.17505201048862,187.936307844948
"5","Acadian redfish",1972,1970,"Fall",1492.1009,21.0155056338028,34.4136881259141,42.9668305973365,-68.3347352232234,9.71018049114507,7.86824920681163,176.065228832715
"6","Acadian redfish",1972,1970,"Spring",2902.8011,48.3800183333333,181.756919508507,42.2931390453977,-68.8241775942899,4.67217830046984,6.9125531094776,214.232385057316
"7","Acadian redfish",1973,1970,"Fall",967.8009,12.904012,19.8153181166979,42.8369813648999,-68.6187080476298,9.85552024181833,7.56575021427708,187.367579840027
"8","Acadian redfish",1973,1970,"Spring",1180.4008,23.1451137254902,52.1826962205711,42.6098070828711,-68.5014187839702,6.56874714080167,6.68761423238615,188.713953684206
"9","Acadian redfish",1974,1970,"Fall",1302.0006,18.0833416666667,38.795352977861,42.9625262168849,-68.2207845651531,11.4746406952501,8.76034965633583,181.590705872179
"10","Acadian redfish",1974,1970,"Spring",757.5012,13.2894947368421,52.5077344284985,42.4543601492205,-68.4836932576036,5.73244701130507,7.58113799874065,197.248367659352
"11","Acadian redfish",1975,1970,"Fall",2219.201,30.8222361111111,66.7691253183375,43.1154955788442,-68.236428963217,11.2097701199666,8.25953509844309,190.371148760297
"12","Acadian redfish",1975,1970,"Spring",1460.0007,28.6274647058824,84.2561239899221,42.3637351328895,-67.5826628032667,4.02362402291999,7.04633158181066,174.259499855857
"13","Acadian redfish",1976,1970,"Fall",750.9,13.4089285714286,35.156772407374,43.3016381793847,-67.8965685721135,9.64337461712611,8.62434192672999,203.086296444267
"14","Acadian redfish",1976,1970,"Spring",1448.3,25.4087719298246,85.4996350884062,42.6693401173099,-68.5685918309743,5.83891458951875,7.12203963267279,194.183249326797
"15","Acadian redfish",1977,1970,"Fall",1515.4001,19.1822797468354,28.9524524786955,42.6971271650305,-69.0610352773721,8.98962006799392,7.2305289719174,164.307902579655
"16","Acadian redfish",1977,1970,"Spring",1121.1001,16.4867661764706,40.7797789353169,42.8118292511674,-69.2519192393257,6.9036747833668,5.30720391243315,171.373645850179
"17","Acadian redfish",1978,1970,"Fall",3053.5003,24.4280024,42.4900156529429,42.730884757852,-68.7151055134659,11.246991955429,6.54052527126286,161.035139967073
"18","Acadian redfish",1978,1970,"Spring",824.2001,13.5114770491803,18.5555828368571,42.7155075136487,-68.7750810028617,6.46288585745136,5.47979905607874,162.341794911211
"19","Acadian redfish",1979,1970,"Fall",2031.4002,23.6209325581395,46.5423315067589,42.4200485673216,-68.6314953935714,10.9222753054765,6.92290002904525,177.768581099874
"20","Acadian redfish",1979,1970,"Spring",1807.9,30.6423728813559,73.511139675163,42.8788714149013,-68.5105712574811,5.4175009679739,5.66654088868649,178.292770617844
"21","Acadian redfish",1980,1980,"Fall",802.8004,15.4384692307692,37.0380701669244,42.7474980977422,-68.1050633265339,10.1881915728991,7.14326535831465,206.84515154701
"22","Acadian redfish",1980,1980,"Spring",1099.1,24.9795454545455,56.1883732885358,42.47577564662,-68.8135489270312,6.4599126558093,5.66494404512783,197.509052861432
"23","Acadian redfish",1981,1980,"Fall",635.4003,14.7767511627907,27.1571826323681,42.8100796539337,-68.2396356458546,10.6799187378413,7.07905300013236,187.395315992139
"24","Acadian redfish",1981,1980,"Spring",734.7002,17.0860511627907,67.4500882122879,43.3557435486385,-68.2510662780093,7.11099757424865,5.867129476758,199.254662786263
"25","Acadian redfish",1982,1980,"Fall",266.0002,6.48780975609756,13.1194143422411,42.7789420932766,-68.63533837744,11.2576686784446,7.31940066210477,179.869473030471
"26","Acadian redfish",1982,1980,"Spring",503.7,12.9153846153846,29.5813289127266,42.8119977832043,-68.4435278890212,5.34887830057574,6.03589438157633,184.215604526504
"27","Acadian redfish",1983,1980,"Fall",293.1002,7.14878536585366,10.6781313668769,42.952433341112,-69.274706214007,10.4974417622369,7.96786027440446,152.1685918331
"28","Acadian redfish",1983,1980,"Spring",328.7,8.65,18.5341576555289,42.7572151204746,-68.313238904168,5.5758273381295,5.72169064748202,182.442348646182
"29","Acadian redfish",1984,1980,"Fall",325.3003,7.56512325581395,14.5138301329462,43.0088423004836,-68.2468886657445,12.0282870946152,7.73377718597426,197.771911061871
"30","Acadian redfish",1984,1980,"Spring",169.0005,5.63335,7.8235300114793,42.6086276592874,-68.767331969235,4.94124481362174,6.28213767541379,175.569809556776
"31","Acadian redfish",1985,1980,"Fall",303.9002,7.06744651162791,13.2080347044327,42.7779196900825,-68.2626679151027,11.6062319676861,8.38852553069421,195.458713090679
"32","Acadian redfish",1985,1980,"Spring",318.7,11.3821428571429,20.1983690865528,42.825959628177,-67.8447130103546,4.07715430861724,7.33527054108217,224.421399435206
"33","Acadian redfish",1986,1980,"Fall",660.1003,15.0022795454545,33.5219958234269,42.8296594210001,-68.6789348072307,11.7450370696546,8.65416921342758,162.151514853122
"34","Acadian redfish",1986,1980,"Spring",354.2003,10.4176558823529,26.9984641320766,43.1626009998673,-67.7594104650205,6.38524262836274,8.47336055004217,190.273823596423
"35","Acadian redfish",1987,1980,"Fall",432.0006,10.5366,19.0635270071543,42.9763379629565,-67.9482863336301,11.3681935943254,7.2130195339022,194.133240092722
"36","Acadian redfish",1987,1980,"Spring",681.8001,20.6606090909091,96.0087389667874,42.6814267338281,-67.6362111597911,4.10033713276609,7.43549526408733,203.530196754151
"37","Acadian redfish",1988,1980,"Fall",487.5005,9.37500961538461,33.3901794077726,43.1168293839699,-67.9011808838488,10.1055828489327,8.12334879200463,174.099028206125
"38","Acadian redfish",1988,1980,"Spring",522.8003,16.337509375,54.4972580539985,43.3720697780778,-67.602273733648,3.54994996206332,6.13749526891589,189.023307943779
